"full_name","epoch","e","a","i","om","w","ma","per"
"  484P/Spacewatch",2458158.5,0.4329,3.762,14.47,265.41,241.02,221.97,2.66e+03
"  485P/Sheppard-Tholen",2454933.5,0.4159,6.841,10.01,261.84,195.92,70.51,6.53e+03
"  486P/Leonard",2460238.5,0.3640,3.629,2.21,219.03,93.97,284.32,2.53e+03
"  487P/Siding Spring",2459813.5,0.6481,5.165,39.37,49.20,0.82,293.60,4.29e+03
"  488P/NEAT-PANSTARRS",2458966.5,0.5505,3.737,11.37,324.11,1.30,157.74,2.64e+03
"  489P/Denning",2452504.5,0.6456,4.443,4.01,22.58,107.96,180.38,3.42e+03
"  490P/ATLAS",2458818.5,0.6485,3.025,12.28,307.60,332.53,30.22,1.92e+03
"  491P/Spacewatch-PANSTARRS",2459668.5,0.2592,5.013,9.37,311.73,299.07,281.65,4.1e+03
"  492P/LINEAR",2456627.5,0.6916,5.746,11.46,11.49,41.02,81.47,5.03e+03
"  493P/LONEOS",2458184.5,0.4628,7.116,24.05,1.36,83.56,210.34,6.93e+03
"  494P/PANSTARRS",2460080.5,0.3575,3.798,7.79,245.05,48.88,309.26,2.7e+03
"  495P/Christensen",2459253.5,0.2712,4.751,26.36,291.62,141.49,196.26,3.78e+03
"  496P/Hill",2459469.5,0.7335,6.079,14.83,63.82,42.16,276.06,5.47e+03
"  497P/Spacewatch-PANSTARRS",2456805.5,0.6321,5.587,10.53,40.65,32.43,67.39,4.82e+03
"  498P/LINEAR",2460344.5,0.5724,4.592,14.48,279.25,179.14,328.04,3.59e+03
"  499P/Catalina",2460368.5,0.6914,3.015,24.59,139.33,2.56,290.28,1.91e+03
"  500P/PANSTARRS",2459746.5,0.4134,3.356,2.38,116.50,42.29,202.41,2.25e+03
"  501P/Rankin",2459723.5,0.6957,2.236,10.10,140.49,52.80,156.15,1.22e+03
"  502P/NEAT",2458337.5,0.4716,8.047,11.39,264.60,37.20,249.74,8.34e+03
"  503P/PANSTARRS",2458767.5,0.4830,3.648,10.59,268.63,17.92,47.02,2.55e+03
"  504P/WISE-PANSTARRS",2460616.5,0.4060,3.745,8.81,221.12,308.50,338.51,2.65e+03
"  505P/Palomar",2457075.5,0.3175,4.085,11.47,112.30,144.67,246.77,3.02e+03
"  506P/WISE-LINEAR",2458729.5,0.4821,5.577,13.65,325.84,353.60,251.32,4.81e+03
"  507P/Lemmon",2458593.5,0.5680,6.289,17.10,233.43,108.75,277.11,5.76e+03
"  508P/McNaught",2454817.5,0.5705,3.57,31.77,268.82,339.03,195.75,2.46e+03
"  509P/Catalina",2457808.5,0.4635,7.022,8.71,275.82,179.54,183.22,6.8e+03
"  510P/Boattini",2457321.5,0.2490,6.514,8.23,280.93,86.41,123.44,6.07e+03
"  511P/PANSTARRS",2460370.5,0.2377,3.012,14.78,271.03,81.17,266.31,1.91e+03
"  512P/PANSTARRS",2458353.5,0.1551,5.727,12.55,73.78,307.85,142.20,5.01e+03
"  513P/Broughton",2458567.5,0.5508,7.293,21.34,57.02,304.48,246.15,7.19e+03
"  514P/Lemmon-PANSTARRS",2459731.5,0.3590,4.554,6.50,321.64,89.14,231.01,3.55e+03
"  515P/PANSTARRS",2458696.5,0.3614,4.385,20.41,120.77,16.59,98.21,3.35e+03
"  516P/PANSTARRS",2460119.5,0.3235,3.637,4.01,105.18,73.55,197.25,2.53e+03
