name,designation,full_name,spkid,epoch,x_km,y_km,z_km,vx_km_s,vy_km_s,vz_km_s,gm_km3_s2,mass_kg,diameter_km,radius_km,H,neo,pha,orbit_class
Beatrix,83,    83 Beatrix (A865 HA),20000083,2026-09-08 12:00:00,293986757.435091,232262010.7532762,109374837.0010612,-12.11351006126901,11.19455065770464,6.463419703415042,,,110.503,55.2515,8.73,N,N,MBA
Klio,84,    84 Klio (A865 QA),20000084,2026-09-08 12:00:00,-210789621.0534099,304316945.9352202,163741965.9866613,-15.57246447473584,-4.33232988037968,-4.229785258905528,,,79.16,39.58,9.33,N,N,MBA
Io,85,    85 Io (A865 SA),20000085,2026-09-08 12:00:00,-62730969.49839609,425376202.1037896,88253123.49355339,-16.34743151281028,0.5898861370027186,-1.231371974663127,,,154.79,77.395,7.93,N,N,MBA
Semele,86,    86 Semele (A866 AA),20000086,2026-09-08 12:00:00,-516630003.1462309,57338747.49178295,72742560.4984088,-4.849392349815344,-12.97473300973917,-5.268964929594484,,,109.929,54.9645,8.71,N,N,MBA
Sylvia,87,    87 Sylvia (A866 KA),20000087,2026-09-08 12:00:00,-309902206.1065571,388420269.2619621,258416432.977752,-12.51880612567013,-7.786461789175759,-1.351178075266463,,,253.051,126.5255,6.93,N,N,OMB
Thisbe,88,    88 Thisbe (A866 LA),20000088,2026-09-08 12:00:00,-406514634.4257331,-114814849.049727,-91570315.98127478,8.111884999081575,-14.08329639784031,-5.469028071688644,,,232.0,116.0,7.24,N,N,MBA
Julia,89,    89 Julia (A866 PA),20000089,2026-09-08 12:00:00,14341972.80125027,301745335.528475,209673661.7881087,-18.40598782805459,5.719255049096954,-0.8400403856501638,,,145.483,72.7415,6.39,N,N,MBA
Antiope,90,    90 Antiope (A866 TA),20000090,2026-09-08 12:00:00,-475424897.1135171,-135683985.5385856,-42107420.09295332,6.945324219671247,-12.94476717529509,-6.092306450883938,,,115.974,57.987,8.42,N,N,MBA
Aegina,91,    91 Aegina (A866 VA),20000091,2026-09-08 12:00:00,-387373164.6444235,-4187314.217823917,879444.8136687472,-1.866005819461815,-16.62699449039491,-7.920279293828984,,,103.402,51.701,9.12,N,N,MBA
Undina,92,    92 Undina (A867 NA),20000092,2026-09-08 12:00:00,-117810065.3543332,-426802029.1182088,-146132915.6439414,16.64179427455624,-1.438152724398053,-3.628193176938769,,,126.42,63.21,6.74,N,N,MBA
Minerva,93,    93 Minerva (A867 QA),20000093,2026-09-08 12:00:00,-136264194.4724785,-283995906.0053846,-175449017.5555432,19.35686296191771,-5.344777902224355,-3.560682150204727,,,154.155,77.0775,7.88,N,N,MBA
Aurora,94,    94 Aurora (A867 RA),20000094,2026-09-08 12:00:00,-322584463.4318833,271822842.8230367,168317215.3830149,-13.32334426199233,-9.59012836964133,-5.764856294044637,,,204.89,102.445,7.70,N,N,MBA
Arethusa,95,    95 Arethusa (A867 WA),20000095,2026-09-08 12:00:00,-274676404.1196364,-403249544.0582295,-185610711.9898575,12.75648121172739,-7.556577565652028,0.3598787583401837,,,147.969,73.9845,7.96,N,N,MBA
Aegle,96,    96 Aegle (A868 DA),20000096,2026-09-08 12:00:00,369543959.6901456,218563443.7286588,239082628.9393078,-11.36806074005881,9.83774920199623,4.713426622871754,,,177.774,88.887,7.66,N,N,MBA
Klotho,97,    97 Klotho (A868 DB),20000097,2026-09-08 12:00:00,-80613780.10156177,-482015634.6703251,-100111924.6408647,14.07802017202128,-1.019773132354893,-1.25156785822167,,,100.717,50.3585,7.78,N,N,MBA
Ianthe,98,    98 Ianthe (A868 HA),20000098,2026-09-08 12:00:00,-316790464.9029882,70978113.34811047,45897838.47150633,-6.394033956327638,-16.16635191571415,-13.29946721602926,,,132.788,66.394,8.94,N,N,MBA
Dike,99,    99 Dike (A868 KA),20000099,2026-09-08 12:00:00,413956761.0310198,193619035.581355,50330138.61982992,-4.545631110166811,11.96344214551958,8.928274652506333,,,67.354,33.677,9.46,N,N,MBA
Hekate,100,   100 Hekate (A868 NA),20000100,2026-09-08 12:00:00,347106041.9793979,-152927682.5651459,-87361871.5230758,9.77882707998882,16.591448609805,4.96092250290958,,,85.734,42.867,7.73,N,N,MBA
Helena,101,   101 Helena (A868 PA),20000101,2026-09-08 12:00:00,332205794.947911,61368941.11887129,60518366.92559717,-3.368274762753238,17.19586159719773,11.05228511518266,,,65.84,32.92,8.39,N,N,MBA
Miriam,102,   102 Miriam (A868 QA),20000102,2026-09-08 12:00:00,-433676142.4780409,209105513.7481214,50826190.57697538,-8.195570013497635,-11.35578348541843,-4.304337212308242,,,82.595,41.2975,9.43,N,N,MBA
Hera,103,   103 Hera (A868 RA),20000103,2026-09-08 12:00:00,-419442491.1275518,-80000321.61143458,893057.26545751,3.989253322914408,-15.61514437187646,-5.81771231188747,,,83.908,41.954,7.74,N,N,MBA
Klymene,104,   104 Klymene (A868 RB),20000104,2026-09-08 12:00:00,-204046314.3291624,319031551.8560308,159690475.7117462,-17.43016936298288,-7.13873268584983,-2.784455710236418,,,136.553,68.2765,8.52,N,N,MBA
Artemis,105,   105 Artemis (A868 SA),20000105,2026-09-08 12:00:00,214634734.2023138,356977339.4341452,24589553.87132873,-13.64491853059529,8.628986948982597,-0.3849861390195356,,,94.864,47.432,8.75,N,N,MBA
Dione,106,   106 Dione (A868 TA),20000106,2026-09-08 12:00:00,409957641.9052861,-30863879.08830685,-46834270.67222856,0.453850517376277,17.18369603749133,8.195159220765383,,,207.869,103.9345,7.76,N,N,MBA
Camilla,107,   107 Camilla (A868 WA),20000107,2026-09-08 12:00:00,-348026098.140888,332570861.0241361,88082294.19350922,-12.1956381939113,-11.53195202761813,-2.480102104787423,0.7475,1.1199676370555714e+19,210.37,105.185,7.09,N,N,OMB
Hecuba,108,   108 Hecuba (A869 GB),20000108,2026-09-08 12:00:00,17642463.61026677,-418018216.3120847,-218015977.4758805,17.0099506878966,-0.4019602371534139,0.04075182600109568,,,75.498,37.749,7.97,N,N,OMB
Felicitas,109,   109 Felicitas (A869 TA),20000109,2026-09-08 12:00:00,-422241511.251544,-229068454.7708987,-135815529.7094257,5.181377638130241,-11.32073208060255,-6.916917418378913,,,82.588,41.294,8.98,N,N,MBA
Lydia,110,   110 Lydia (A870 HA),20000110,2026-09-08 12:00:00,182787183.9147604,326760289.2349335,146653331.9128901,-15.50306446772304,7.945479211180556,5.51204331990427,,,86.09,43.045,7.83,N,N,MBA
Ate,111,   111 Ate (A870 PA),20000111,2026-09-08 12:00:00,5993757.612935607,313497485.7743323,155617571.7830051,-20.29257903294493,0.2213526683213723,-1.477224131510805,,,126.344,63.172,8.21,N,N,MBA
Iphigenia,112,   112 Iphigenia (A870 SA),20000112,2026-09-08 12:00:00,255687309.7821673,193792182.198298,100251651.7229218,-11.66215058414702,15.43269377169534,7.018298132851205,,,69.818,34.909,9.77,N,N,MBA
Amalthea,113,   113 Amalthea (A871 EA),20000113,2026-09-08 12:00:00,370523963.1900548,-62929292.59304257,-52938295.83361004,4.593276612198808,16.45924401302265,5.846975406568113,,,50.137,25.0685,8.53,N,N,MBA
Kassandra,114,   114 Kassandra (A871 OA),20000114,2026-09-08 12:00:00,-1322214.985884867,351480517.482129,118828407.5526433,-19.38942636955328,-2.419023162442471,-0.3324393917443712,,,94.178,47.089,8.45,N,N,MBA
Thyra,115,   115 Thyra (A871 PA),20000115,2026-09-08 12:00:00,73317478.67763013,237261537.2014551,154872243.4715405,-21.49004772335093,8.280249215359541,0.9576561747067842,,,79.83,39.915,7.75,N,N,MBA
Sirona,116,   116 Sirona (A871 RA),20000116,2026-09-08 12:00:00,-124889624.7590043,-358393566.6536803,-159562909.6245591,16.25532611930036,-6.681741809359071,-4.11856089937995,,,71.7,35.85,7.77,N,N,MBA
